type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
VS;325421;Volksschule;1678490.38,6193880.43;Rappottenstein 10 A;3911;Rappottenstein;öffentl.;5;87;42;45
VS;325431;Volksschule;1677712.63,6212775.38;Rieggers 51;3931;Zwettl-Niederösterreich;öffentl.;4;68;37;31
BMHSK;325438;Bundeshandelsakademie und Bundeshandelsschule;1687713.72,6208444.44;Hammerweg 1;3910;Zwettl-Niederösterreich;öffentl.;9;182;69;113
VS;325451;Volksschule;1695413.2,6184701.85;Schulgasse 3;3525;Sallingberg;öffentl.;2;36;20;16
VS;325481;Volksschule;1673930.09,6182809.19;Schönbach 73;3633;Schönbach;öffentl.;1;25;12;13
VS;325491;Volksschule;1698458.68,6231612.04;Schulgasse 10;3900;Schwarzenau;öffentl.;2;43;18;25
VS;325501;Volksschule;1677083.65,6218823.04;Am Schulberg 4;3931;Schweiggers;öffentl.;5;75;39;36
VS;325551;Volksschule;1682615.67,6179776.53;Schulgasse 4;3632;Bad Traunstein;öffentl.;2;40;22;18
VS;325561;Volksschule;1698829.07,6193900.22;Waldhausen 54;3914;Waldhausen;öffentl.;3;42;21;21
VS;325591;Volksschule;1687823.73,6208476.66;Hammerweg 2;3910;Zwettl-Niederösterreich;öffentl.;8;156;77;79
VS;325601;Private Volksschule des Vereins für Franziskanische Bildung;1688722.43,6208617.54;Klosterstraße 10;3910;Zwettl-Niederösterreich;privat;4;71;32;39
ASTAT;325611;Privatschule Schule des Lebens Waldviertel des Vereins Schule des Lebens Waldviertel;1692843.27,6207204.27;Rudmanns 22;3910;Zwettl-Niederösterreich;privat;1;13;6;7
LFMS;325710;Landwirtschaftliche Fachschule;1694594.72,6208292.44;Edelhof 1;3910;Zwettl-Niederösterreich;öffentl.;10;220;138;82
LFMS;325720;Landwirtschaftliche Fachschule Edelhof;1694449.65,6208224.37;Edelhof 2;3910;Zwettl-Niederösterreich;öffentl.;8;133;17;116
BS;325750;Land und forstwirtschaftliche Berufsschule;1694594.72,6208292.44;Edelhof 1A;3910;Zwettl, Niederösterreich;öffentl.;8;134;79;55
BMHSP;325810;Private Bildungsanstalt für Sozialpädagogik und Privates Kolleg der Bildungsanstalt für Elementarpädagogik des Vereins für Franziskanische Bildung;1688722.43,6208617.54;Klosterstraße 10;3910;Zwettl-Niederösterreich;privat;9;201;4;197
GKS;325910;Landesklinikum Gmünd - Waidhofen/Thaya - Zwettl, Schule für allgemeine Gesundheits- und Krankenpflege am Standort Zwettl;1687647.16,6207210.5;Propstei 5A;3910;Zwettl-Niederösterreich;öffentl.;0;150;18;132
VS;401011;Volksschule 1;1590633.12,6155824.62;Tegetthoffstraße 23;4020;Linz;öffentl.;5;81;44;37
PS;401014;Polytechnische Schule Urfahr;1590008.14,6158923.65;Hinsenkampplatz 3;4040;Linz;öffentl.;7;157;77;80
BS;401015;Berufsschule Linz 6;1590516.44,6159128.08;Ferihumerstraße 28;4040;Linz;öffentl.;51;1009;188;821
AHS;401016;Akademisches Gymnasium;1590435.5,6157315.38;Spittelwiese 14;4020;Linz;öffentl.;19;420;151;269
NMSH;401022;Mittelschule 3 (Stelzhamerschule);1590647.65,6155907.2;Figulystraße 15;4020;Linz;öffentl.;12;282;152;130
SS;401023;Allgemeine Sonderschule 2 (Diesterwegschule);1592065.73,6157129.41;Khevenhüllerstraße 3;4020;Linz;öffentl.;12;103;68;35
BS;401025;Berufsschule Linz 7;1590516.44,6159128.08;Ferihumerstraße 28;4040;Linz;öffentl.;43;691;233;458
AHS;401026;Bundesrealgymnasium;1591094.29,6157681.92;Fadingerstraße 4;4020;Linz;öffentl.;23;510;327;183
VS;401031;Volksschule 4 Mozartschule;1591426.2,6157223.25;Volksfeststraße 7-11;4020;Linz;öffentl.;9;179;88;91
NMSH;401032;Mittelschule 5 (Otto-Glöckel-Schule);1591818.29,6154742.99;Dürrnbergerstraße 1-3;4020;Linz;öffentl.;15;345;191;154
BS;401035;Berufsschule Linz 3;1592104.67,6155091.45;Makartstraße 3;4020;Linz;öffentl.;103;1752;1382;370
