type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
VS;705131;Volksschule;1356113.72,6053997.35;Dorf 22;6343;Erl;öffentl.;4;79;36;43
NMSH;705132;Mittelschule;1346097.9,6026673.14;Ulricusstraße 20;6322;Kirchbichl;öffentl.;12;240;123;117
NMSH;705142;Mittelschule;1322546.3,6010804.67;Sonnbichl 11;6235;Reith im Alpbachtal;öffentl.;4;76;35;41
VS;705151;Volksschule Rettenschöss;1365126.44,6049260.7;Rettenschöss 66;6347;Rettenschöss;öffentl.;2;35;19;16
NMSH;705152;Mittelschule;1332572.39,6020372.93;Ausserdorf 16;6252;Breitenbach am Inn;öffentl.;8;136;70;66
VS;705161;Volksschule;1349186.47,6025774.19;Obere Dorfstraße 2;6323;Bad Häring;öffentl.;8;144;74;70
NMSH;705162;Mittelschule;1329102.99,6007024.42;Alpbach 670;6236;Alpbach;öffentl.;4;81;46;35
NMSH;705172;Mittelschule;1347661.67,6032351.21;Untere Dorfstraße 20;6336;Langkampfen;öffentl.;8;170;81;89
VS;705181;Volksschule;1343113.99,6038043.76;Hinterthiersee 78;6335;Thiersee;öffentl.;2;22;7;15
VS;705201;Volksschule;1331655.47,6003657.45;Inneralpbach 364;6236;Alpbach;öffentl.;2;39;28;11
VS;705211;Volksschule;1345543.49,6026228.79;Sebastian Frisch Straße 15;6322;Kirchbichl;öffentl.;10;198;98;100
VS;705231;Volksschule Kramsach;1322628.57,6015789.94;Achenrain 40;6233;Kramsach;öffentl.;12;226;124;102
VS;705241;Volksschule Kufstein Stadt;1354839.87,6037488.79;Kinkstraße 3;6330;Kufstein;öffentl.;13;289;139;150
VS;705251;Volksschule;1353485.89,6037904.24;Langkampfnerstraße 23;6330;Kufstein;öffentl.;13;265;142;123
VS;705261;Volksschule;1355562.28,6039145.1;Sterzinger Straße 5;6330;Kufstein;öffentl.;15;305;154;151
VS;705271;Volksschule;1334197.94,6018677.69;Biochemiestraße 43b;6250;Kundl;öffentl.;12;231;123;108
VS;705281;Volksschule;1339719.71,6038814.39;Landl 52;6335;Thiersee;öffentl.;2;32;18;14
VS;705291;Volksschule;1341777.03,6028352.63;Mariastein 25;6324;Mariastein;öffentl.;2;23;9;14
VS;705301;Volksschule;1317218.47,6011136.47;Dorf 86;6232;Münster;öffentl.;8;153;80;73
VS;705311;Volksschule;1345641.82,6015670.63;Niederau 100, Wildschönauerstraße;6314;Wildschönau;öffentl.;5;74;41;33
VS;705321;Volksschule;1359950.79,6048969.05;Dorf 35;6342;Niederndorf;öffentl.;8;135;68;67
VS;705331;Volksschule;1341345.32,6014558.11;Kirchen, Oberau 470;6311;Wildschönau;öffentl.;5;79;35;44
VS;705341;Volksschule Oberlangkampfen;1345858.42,6027909.77;Innstraße 5;6336;Langkampfen;öffentl.;7;98;51;47
VS;705351;Volksschule;1325426.77,6015292.06;Kirchfeld 1;6241;Radfeld;öffentl.;8;114;55;59
VS;705361;Volksschule Reit am Berg;1362660.19,6050787.08;Eiberg 14;6346;Niederndorferberg;öffentl.;2;36;19;17
VS;705371;Volksschule Reith;1322595.87,6010812.55;Sonnbichl 12;6235;Reith im Alpbachtal;öffentl.;8;126;59;67
VS;705401;Volksschule;1363554.06,6028662.78;Dorf 41;6351;Scheffau am Wilden Kaiser;öffentl.;4;59;28;31
VS;705411;Volksschule;1351412.88,6031230.26;Dorf 2;6334;Schwoich;öffentl.;8;123;62;61
BMHST;705417;Private Höhere technische Lehranstalt Kramsach, Glas und Chemie des Vereins HTL Kramsach, Glas und Chemie;1321185.39,6016090.47;Mariatal 2;6233;Kramsach;privat;14;247;97;150
VS;705421;Volksschule;1357527.79,6025147.39;Dorf 34;6306;Söll;öffentl.;9;169;85;84
BMHSW;705429;Höhere Bundeslehranstalt für wirtschaftliche Berufe und Bundesfachschule für Sozialberufe mit Pflegevorbereitung;1355124.3,6037228.91;August-Scherl-Straße 1;6330;Kufstein;öffentl.;23;478;51;427
VS;705431;Volksschule;1334746.94,6011254.52;Thierbach 22;6311;Wildschönau;öffentl.;1;6;1;5
VS;705441;Volksschule Angerberg;1340151.09,6024978;Linden 7;6320;Angerberg;öffentl.;6;93;35;58
VS;705451;Volksschule Unterlangkampfen;1347024.86,6031973.46;Bürgerstraße 14;6336;Langkampfen;öffentl.;5;84;42;42
VS;705461;Volksschule Vorderthiersee;1348011.83,6039002.45;Kirchdorf 32;6335;Thiersee;öffentl.;5;102;59;43
BMHSW;705469;Bundesfachschule für wirtschaftliche Berufe;1342611.5,6021141.03;Innsbrucker Straße 34a;6300;Wörgl;öffentl.;12;261;10;251
VS;705471;Volksschule;1371228.97,6049411.08;Hausbergstraße 15;6344;Walchsee;öffentl.;6;93;45;48
VS;705481;Volksschule I;1343583.33,6021937.99;Michael-Unterguggenberger-Straße 6;6300;Wörgl;öffentl.;14;278;143;135
BMHSK;705488;Bundeshandelsakademie und Bundeshandelsschule;1342481.3,6021049.17;Innsbrucker Straße 34;6300;Wörgl;öffentl.;27;671;334;337
VS;705491;Volksschule II;1343583.33,6021937.99;Michael-Unterguggenberger-Straße 6;6300;Wörgl;öffentl.;13;259;127;132
ASTAT;705521;Privatschule Freie Waldorfschule Kufstein des Vereins Verein für Waldorfpädagogik Kufstein;1355698.87,6038994.74;Sterzingerstraße 12a;6330;Kufstein;privat;2;12;5;7
ASTAT;705531;Privatschule Lernwerkstatt Zauberwinkl des  Vereins für selbstbestimmtes Leben und Lernen;1341784.81,6020311.29;Zauberwinklweg 1;6300;Wörgl;privat;1;22;13;9
ASTAT;705541;Privatschule Montessori-Schule Wörgl des Vereins Lernen fürs Leben;1343282,6023085.74;Angather Weg 14;6300;Wörgl;privat;3;61;29;32
GKS;705910;Schule für allgemeine Gesundheits- und Krankenpflege am Allgemeinen öffentlichen Bezirkskrankenhaus Kufstein;1352571.67,6035839.89;Endach 27a;6330;Kufstein;öffentl.;0;241;33;208
VS;706011;Volksschule;1188421.47,5950977.16;Fendels 68;6528;Fendels;öffentl.;1;13;4;9
NMSH;706012;Mittelschule;1155828.95,5952290.48;Lochau 645;6555;Kappl;öffentl.;12;237;121;116
SS;706013;Allgemeine Sonderschule;1178642.24,5967742.7;Hauptstraße 49;6511;Zams;öffentl.;4;21;14;7
PS;706014;Polytechnische Schule;1175162.6,5965461.64;Prandtauerweg 19;6500;Landeck;öffentl.;3;73;51;22
VS;706021;Volksschule;1182043.07,5951217.19;Puintweg 5;6533;Fiss;öffentl.;2;33;19;14
NMSH;706022;Mittelschule;1186742.24,5952531.11;Ried i.O. 170;6531;Ried im Oberinntal;öffentl.;14;271;141;130
PS;706024;Polytechnische Schule Prutz-Ried;1186742.24,5952531.11;Ried i.O. 170;6531;Ried im Oberinntal;öffentl.;1;25;20;5
BS;706025;Tiroler Fachberufsschule für Tourismus und Handel - Landeck;1175218.94,5964967.67;Kreuzgasse 9;6500;Landeck;öffentl.;35;506;189;317
AHS;706026;Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;1176271.9,5966203.34;Römerstraße 14;6500;Landeck;öffentl.;17;340;172;168
VS;706031;Volksschule;1182733.22,5961846.85;Dorf 181;6521;Fließ;öffentl.;5;73;34;39
NMSH;706032;Mittelschule;1143455.07,5963640.73;Auweg 5;6580;St. Anton am Arlberg;öffentl.;8;132;65;67
AHS;706036;Privates katholisches Oberstufenrealgymnasium des Schulvereins der Katharina Lins Schulen;1179066.74,5968485.06;Klostergasse 8;6511;Zams;privat;9;175;25;150
VS;706041;Volksschule;1179623.43,5963063.06;Eichholz 335;6521;Fließ;öffentl.;1;8;2;6
NMSH;706042;Mittelschule;1172166.77,5936870.07;Stuben 264;6542;Pfunds;öffentl.;9;177;89;88
VS;706051;Volksschule;1179236.88,5961003.18;Hochgallmigg 108;6500;Fließ;öffentl.;1;17;10;7
NMSH;706052;Mittelschule;1176516.86,5964660.4;Schulhausplatz 5;6500;Landeck;öffentl.;8;149;92;57
NMSH;706062;Private Praxismittelschule der Kirchlichen Pädagogischen Hochschule Edith Stein in Innsbruck (701670);1179066.74,5968485.06;Klostergasse 8;6511;Zams;privat;4;98;22;76
VS;706071;Volksschule;1190349.47,5964378.85;Piller 49;6473;Wenns;öffentl.;1;13;8;5
NMSH;706072;Mittelschule Zams-Schönwies;1178147.5,5967995.75;Oberreitweg 26;6511;Zams;öffentl.;6;79;39;40
NMSH;706082;Mittelschule;1170683.35,5964325.96;Sankt Margarethen 9;6551;Pians;öffentl.;8;176;89;87
VS;706091;Volksschule;1181005.8,5961117.22;Urgen 62;6500;Fließ;öffentl.;2;23;15;8
NMSH;706092;Mittelschule;1182733.22,5961846.85;Dorf 181;6521;Fließ;öffentl.;8;140;81;59
VS;706101;Volksschule;1158630.48,5966478.33;Flirsch 202;6572;Flirsch;öffentl.;2;32;17;15
NMSH;706102;Mittelschule Serfaus-Fiss-Ladis;1182118.68,5950735.31;Fisser Straße 11;6533;Fiss;öffentl.;5;89;42;47
VS;706111;Volksschule;1133909.55,5936893.48;Galtür 33;6563;Galtür;öffentl.;2;26;16;10
VS;706121;Volksschule;1170349.18,5965053.71;Grins 69;6591;Grins;öffentl.;2;41;21;20
VS;706131;Volksschule;1145711.4,5943846.91;St. Nikolausweg 1;6561;Ischgl;öffentl.;3;54;30;24
VS;706141;Volksschule;1140382.45,5940255.04;Mathonerstraße 48;6562;Mathon;öffentl.;1;17;8;9
VS;706161;Volksschule;1155857.34,5952366.53;Lochau 707;6555;Kappl;öffentl.;6;94;40;54
VS;706221;Volksschule;1191793.89,5955576.21;Poschackerl 46;6527;Kaunerberg;öffentl.;2;28;13;15
VS;706231;Volksschule;1196473.29,5946679.2;Feichten 154;6524;Kaunertal;öffentl.;2;27;16;11
VS;706251;Volksschule;1190385.08,5954765.73;Dorfstraße 27;6526;Kauns;öffentl.;1;17;9;8
VS;706261;Volksschule;1185533.74,5954123.42;Unterdorf 18;6532;Ladis;öffentl.;2;23;14;9
VS;706271;Volksschule;1176421.24,5964598.98;Schulhausplatz 2;6500;Landeck;öffentl.;8;152;86;66
VS;706281;Volksschule;1175162.6,5965461.64;Prandtauerweg 19;6500;Landeck;öffentl.;5;78;44;34
VS;706291;Volksschule;1176438.35,5966367.59;Römerstraße 16;6500;Landeck;öffentl.;3;51;27;24
VS;706301;Volksschule;1169023.28,5924571.47;Nummer 310;6543;Nauders;öffentl.;4;70;42;28
VS;706311;Volksschule;1151207.78,5966279.48;Dorf 130;6574;Pettneu am Arlberg;öffentl.;2;36;19;17
VS;706321;Volksschule;1155302.61,5966982.06;Schnann, Römerweg 69;6574;Pettneu am Arlberg;öffentl.;1;9;6;3
VS;706351;Volksschule;1172930.24,5936964.67;Stuben 253;6542;Pfunds;öffentl.;7;114;54;60
VS;706381;Volksschule;1170104.32,5963732.68;Nummer 87;6551;Pians;öffentl.;3;41;16;25
VS;706391;Volksschule Prutz;1187126.95,5954829.51;Kugelgasse 1;6522;Prutz;öffentl.;7;96;35;61
VS;706401;Volksschule;1185744.6,5951065.63;Ried i.O. 137;6531;Ried im Oberinntal;öffentl.;3;56;25;31
VS;706411;Volksschule;1143229.04,5963604.09;Marktstraße 28;6580;St. Anton am Arlberg;öffentl.;3;54;23;31
BMHSK;706418;Bundeshandelsakademie und Bundeshandelsschule;1175319.77,5964987.5;Kreuzgasse 9a;6500;Landeck;öffentl.;11;178;92;86
VS;706421;Volksschule;1145343.46,5965317.13;Nummer 100;6580;St. Anton am Arlberg;öffentl.;1;19;9;10
BMHSW;706429;Höhere Bundeslehranstalt für wirtschaftliche Berufe;1175319.77,5964987.5;Kreuzgasse 9a;6500;Landeck;öffentl.;10;238;39;199
VS;706431;Volksschule;1186109.05,5974177.98;Oberhäuser 2;6491;Schönwies;öffentl.;5;74;39;35
VS;706441;Volksschule;1165581.65,5955852.72;Kirchenstraße 11;6553;See;öffentl.;4;77;45;32
VS;706461;Volksschule;1180874.53,5948366.18;Dorfbahnstraße 30;6534;Serfaus;öffentl.;2;40;16;24
VS;706481;Volksschule;1174855.91,5966326.53;Stanz 11a;6500;Landeck;öffentl.;2;25;12;13
VS;706491;Volksschule;1164694.87,5962459.3;Dorf 14;6571;Strengen;öffentl.;3;48;22;26
VS;706501;Volksschule;1170274.42,5962584;Höfen 38;6552;Tobadill;öffentl.;2;23;12;11
VS;706521;Volksschule;1180743.85,5945047.87;Nummer 58;6541;Tösens;öffentl.;3;49;16;33
VS;706541;Volksschule;1178642.24,5967742.7;Hauptstraße 49;6511;Zams;öffentl.;8;156;82;74
VS;706561;Volksschule;1181014.34,5969207.55;Schwaighof 27;6511;Zams;öffentl.;1;10;6;4
VS;706581;Volksschule;1183596.95,5960252.98;Niedergallmigg 29;6521;Fließ;öffentl.;1;10;6;4
LFMS;706720;Fachschule für ländliches Betriebs- und Haushaltsmanagement Landeck-Perjen;1176518.64,5966388.25;Riefengasse 1;6500;Landeck;öffentl.;3;60;2;58
BMHSP;706810;Priv. kath. Bildungsanstalt f. Elementarpädagogik, Fachschule f. pädagogische Assistenzberufe und Höhere Lehranstalt f. Pflege u. Sozialbetreuung d. Vereins Schulverein der Katharina Lins Schulen;1179066.74,5968485.06;Klostergasse 8;6511;Zams;privat;11;250;14;236
GKS;706910;Schule für allgemeine Gesundheits- und Krankenpflege am Allgemeinen öffentlichen Krankenhaus St. Vinzenz Zams;1179161.05,5968693.94;Nikolaus Tolentin Schuler Weg 2;6511;Zams;privat;0;127;19;108
VS;707011;Volksschule;1394520.19,5902369.91;Abfaltersbach 92;9913;Abfaltersbach;öffentl.;2;23;12;11
NMSH;707012;Mittelschule;1394520.19,5902369.91;Abfaltersbach 92;9913;Abfaltersbach;öffentl.;8;124;59;65
SS;707013;Allgemeine Sonderschule;1420390.58,5914746.58;Schlossgasse 2;9900;Lienz;öffentl.;4;25;17;8
PS;707014;Polytechnische Schule;1421135.24,5915348.86;Emanuel-von-Hibler Straße 10;9900;Lienz;öffentl.;2;42;24;18
BS;707015;Tiroler Fachberufsschule Lienz;1420448.04,5914890.97;Linker Iselweg 20;9900;Lienz;öffentl.;23;315;186;129
AHS;707016;Bundesgymnasium und Bundesrealgymnasium;1421772.77,5915077.73;Maximilianstraße 11;9900;Lienz;öffentl.;31;634;276;358
VS;707021;Volksschule;1412839.24,5920026.31;Ainet 17;9951;Ainet;öffentl.;2;39;23;16
NMSH;707022;Mittelschule (Egger-Lienz);1421020.97,5914482.97;Muchargasse 8;9900;Lienz;öffentl.;12;263;134;129
PS;707024;Polytechnische Schule;1382422.75,5901252.32;Sillian 30;9920;Sillian;öffentl.;1;17;10;7
AHS;707026;Bundes-Oberstufenrealgymnasium;1421493.32,5914458.63;Kärntner Straße 8;9900;Lienz;öffentl.;14;291;85;206
VS;707031;Volksschule;1397772.84,5904745.87;Sonnenboden 3;9912;Anras;öffentl.;3;47;25;22
NMSH;707032;Mittelschule;1396076.4,5941875.92;Lienzer Straße 17;9971;Matrei in Osttirol;öffentl.;12;203;115;88
PS;707034;Polytechnische Schule;1396093.3,5941966.23;Lienzer Straße 17;9971;Matrei in Osttirol;öffentl.;2;30;24;6
NMSH;707042;Mittelschule;1427005.86,5914672.13;Pestalozzistraße 4;9990;Nussdorf-Debant;öffentl.;11;209;107;102
SS;707043;Allgemeine Sonderschule;1383077.95,5900942.89;Sillian 185 j;9920;Sillian;öffentl.;2;9;8;1
VS;707051;Volksschule;1407034.53,5907270.47;Unterassling 29;9911;Assling;öffentl.;2;22;8;14
NMSH;707052;Mittelschule;1383029.87,5900867.95;Aue 185b;9920;Sillian;öffentl.;11;198;99;99
VS;707061;Volksschule;1383687.94,5907363.64;Außervillgraten 136;9931;Außervillgraten;öffentl.;2;37;19;18
NMSH;707062;Mittelschule;1386791.2,5942448.93;Niedermauern Straße 11;9972;Virgen;öffentl.;8;115;59;56
NMSH;707072;Mittelschule Lienz-Nord;1421135.24,5915348.86;Emanuel-von-Hibler-Straße 10;9900;Lienz;öffentl.;12;251;156;95
VS;707091;Volksschule;1427074.27,5914692.87;Pestalozzistraße 2;9990;Nussdorf-Debant;öffentl.;8;110;62;48
NMSH;707092;Mittelschule;1372567.62,5928281.78;Unterrotte 99;9963;St. Jakob in Defereggen;öffentl.;4;82;51;31
VS;707111;Volksschule;1429554.42,5913921.62;Schulplatz 1;9991;Dölsach;öffentl.;4;82;39;43
VS;707141;Volksschule;1421603.71,5916642.07;Grafendorf 44;9900;Gaimberg;öffentl.;2;32;23;9
VS;707161;Volksschule;1384605.31,5901463.41;Panzendorf 3;9919;Heinfels;öffentl.;3;52;24;28
VS;707191;Volksschule;1393540.54,5929186.84;Dorf 79;9961;Hopfgarten in Defereggen;öffentl.;2;22;7;15
VS;707201;Volksschule;1429908.03,5915506.44;Iselsberg 30;9992;Iselsberg-Stronach;öffentl.;2;24;15;9
VS;707211;Volksschule;1377229.4,5910838.58;Gasse 78;9932;Innervillgraten;öffentl.;2;32;14;18
VS;707221;Volksschule Huben;1399553.22,5931598.44;Huben 16;9971;Matrei in Osttirol;öffentl.;1;8;2;6
NMSH;707231;Volksschule und Mittelschule;1407713.51,5942833.75;Ködnitz 49;9981;Kals am Großglockner;öffentl.;4;56;32;24
VS;707241;Volksschule;1391052.02,5897613.57;Kartitsch 68;9941;Kartitsch;öffentl.;2;32;19;13
VS;707251;Volksschule;1429902.99,5908989.96;Lavant 40;9900;Lavant;öffentl.;2;22;11;11
VS;707261;Volksschule;1419108.74,5910916.69;Leisach 26;9900;Leisach;öffentl.;2;28;16;12
VS;707271;Volksschule Lienz-Nord;1421135.24,5915348.86;Emanuel-Von-Hibler-Straße 10;9900;Lienz;öffentl.;9;154;93;61
VS;707281;Volksschule Michael Gamper Lienz;1420419.42,5913596.99;Michael Gamper-Straße 5;9900;Lienz;öffentl.;8;114;59;55
VS;707301;Volksschule Lienz-Süd I;1420419.42,5913596.99;Michael-Gamper-Straße 5;9900;Lienz;öffentl.;9;152;78;74
VS;707321;Volksschule;1396093.3,5941966.23;Lienzer Straße 17;9971;Matrei in Osttirol;öffentl.;9;164;79;85
VS;707331;Volksschule;1402394.14,5904775.11;Mittewald 23;9912;Anras;öffentl.;1;12;5;7
VS;707351;Volksschule;1436702.77,5907177.72;Nikolsdorf 106;9782;Nikolsdorf;öffentl.;2;42;20;22
VS;707361;Volksschule Nussdorf;1425216.74,5915359.27;Nussdorf 13;9990;Nussdorf-Debant;öffentl.;2;34;17;17
VS;707381;Volksschule;1417357.57,5916493.13;Oberlienz 140;9900;Oberlienz;öffentl.;3;59;25;34
VS;707391;Volksschule;1403979.99,5894790.38;Dorf 96;9942;Obertilliach;öffentl.;1;21;12;9
VS;707401;Volksschule Klausenberg;1409995.75,5907927.73;Klausen 18;9911;Assling;öffentl.;1;13;3;10
VS;707411;Volksschule;1377627.37,5944870.39;Sankt Andrä 28;9974;Prägraten am Großvenediger;öffentl.;3;48;27;21
BMHSK;707418;Bundeshandelsakademie und Bundeshandelsschule;1420331.24,5913508.47;Weidengasse 1;9900;Lienz;öffentl.;17;345;153;192
BMHSW;707429;Fachschule für wirtschaftliche Berufe und Höhere Lehranstalt f. wirtschaftliche Berufe-Aufbaulehrg.  d. Konvents d. Dominikanerinnen;1420390.58,5914746.58;Schloßgasse 2;9900;Lienz;privat;6;94;11;83
VS;707431;Volksschule;1408764.52,5922317.68;Mesnerdorf 70;9954;Schlaiten;öffentl.;2;28;12;16
BMHSW;707439;Höhere Bundeslehranstalt für wirtschaftliche Berufe und Hotelfachschule Lienz;1420331.24,5913508.47;Weidengasse 1;9900;Lienz;öffentl.;9;164;6;158
VS;707441;Volksschule;1382422.75,5901252.32;Nummer 30;9920;Sillian;öffentl.;4;65;37;28
VS;707451;Volksschule;1372567.62,5928281.78;Unterrotte 99;9963;St. Jakob in Defereggen;öffentl.;2;27;13;14
BMHST;707457;Höhere technische Lehranstalt des Vereins zur Errichtung und Führung der techn.-gewerbl. Lehranstalt Lienz;1420349.25,5914923.71;Linker Iselweg 22;9900;Lienz;privat;14;295;278;17
VS;707461;Volksschule;1405753.18,5926374.53;St. Johann im Walde 48a;9952;St. Johann im Walde;öffentl.;1;20;8;12
VS;707471;Volksschule;1383016.73,5929872.29;Gsaritzen 20;9962;St. Veit in Defereggen;öffentl.;1;15;5;10
VS;707481;Volksschule;1390342.9,5901722.41;Messensee 46;9918;Strassen;öffentl.;2;34;19;15
VS;707501;Volksschule;1409795.58,5906874.34;Thal-Aue 46;9911;Assling;öffentl.;1;18;7;11
VS;707511;Volksschule;1420330.63,5917535.38;Dorf 56;9900;Thurn;öffentl.;2;28;11;17
VS;707521;Volksschule;1423730.99,5912824.97;Lavanter Straße 47;9907;Tristach;öffentl.;4;74;38;36
VS;707531;Volksschule;1411124.17,5893839.92;Untertilliach 37;9943;Untertilliach;öffentl.;1;4;4;0
VS;707541;Volksschule;1386791.2,5942448.93;Niedermauernstraße 11;9972;Virgen;öffentl.;8;109;59;50
LFMS;707710;Landwirtschaftliche Landeslehranstalt;1423095.05,5914181.13;Josef Müller-Straße 1;9900;Lienz;öffentl.;14;279;136;143
GKS;707910;Schule für allgemeine Gesundheits- und Krankenpflege am Allgemeinen öffentlichen Bezirkskrankenhaus Lienz;1420838.45,5915234.39;Emanuel von Hibler-Straße 5;9900;Lienz;öffentl.;0;71;9;62
VS;708011;Volksschule;1158158.13,5986243.02;Oberbach 90;6653;Bach;öffentl.;2;25;10;15
NMSH;708012;Mittelschule;1215605.41,6007509.81;Schulweg 4;6632;Ehrwald;öffentl.;7;118;56;62
PS;708014;Polytechnische Schule;1194125.63,6022630.32;Gymnasiumstraße 14;6600;Reutte;öffentl.;4;75;49;26
BS;708015;Fachberufsschule Plansee;1195216.75,6023178.88;Metallwerk-Plansee-Straße 71;6600;Reutte;privat;8;115;81;34
AHS;708016;Bundesrealgymnasium;1193971.31,6022506.17;Gymnasiumstraße 10;6600;Reutte;öffentl.;23;431;184;247
VS;708021;Volksschule;1196251.2,6009173.02;Berwang 132;6622;Berwang;öffentl.;1;21;11;10
NMSH;708022;Mittelschule;1161667.2,5989694.71;Hausnummer 31a;6652;Elbigenalp;öffentl.;10;182;103;79
BS;708025;Tiroler Fachberufsschule für Handel und Büro Reutte;1194607.8,6024327.83;Speckbacherstraße 9;6600;Reutte;öffentl.;6;71;31;40
VS;708031;Volksschule;1212447.72,6004764.93;Fernpassstraße 27;6633;Biberwier;öffentl.;1;9;4;5
NMSH;708032;Mittelschule;1193286.64,6022667.04;Untermarkt 32;6600;Reutte;öffentl.;12;228;118;110
VS;708041;Volksschule;1201082.07,6010856.5;Kirchhof 58;6621;Bichlbach;öffentl.;2;25;11;14
NMSH;708042;Mittelschule;1194010.97,6022652.83;Gymnasiumstraße 1;6600;Reutte;öffentl.;13;287;145;142
NMSH;708052;Mittelschule;1170912.11,6024058.89;Kirchacker 10;6675;Tannheim;öffentl.;7;107;56;51
NMSH;708062;Mittelschule;1183855.6,6031774.43;Josef-Ahorn-Weg 18;6682;Vils;öffentl.;5;84;40;44
VS;708071;Volksschule;1191242.82,6019564.29;Schulweg 8;6600;Ehenbichl;öffentl.;2;27;16;11
VS;708081;Volksschule;1215678.28,6007486.65;Müllerhofweg 10;6632;Ehrwald;öffentl.;5;82;44;38
VS;708091;Volksschule;1161706.36,5989712.18;Dorf 31c;6652;Elbigenalp;öffentl.;3;49;26;23
VS;708101;Volksschule;1173437.05,5997430.35;Nummer 2;6644;Elmen;öffentl.;1;12;4;8
VS;708111;Volksschule;1178431.64,6010803.75;Forchach 40;6670;Forchach;öffentl.;1;10;4;6
VS;708121;Volksschule;1174992.15,6024154.37;Angerweg 14;6673;Grän;öffentl.;1;15;10;5
VS;708151;Volksschule Häselgehr;1167876.09,5992712.05;Nummer 52;6651;Häselgehr;öffentl.;1;24;13;11
VS;708161;Volksschule;1196674.26,6014930.93;Oberdorf 4;6611;Heiterwang;öffentl.;2;25;18;7
VS;708181;Volksschule;1189525.77,6019609.4;Kirchweg 8;6604;Höfen;öffentl.;2;38;18;20
VS;708191;Volksschule;1151654.6,5984437.5;Holzgau 71a;6654;Holzgau;öffentl.;2;23;11;12
VS;708201;Volksschule;1162911.74,6035972.25;Jungholz 55;6691;Jungholz;öffentl.;1;18;13;5
VS;708251;Volksschule;1191527.73,6022106.32;Wänglerstraße 15;6600;Lechaschau;öffentl.;6;88;44;44
VS;708261;Volksschule;1211930.68,6007540.32;Innsbrucker Straße 16;6631;Lermoos;öffentl.;2;38;20;18
VS;708281;Volksschule;1188350.92,6029069.17;Hofstatt 85;6600;Musau;öffentl.;1;13;6;7
VS;708301;Volksschule;1181359.78,6021508.36;Nesselwängle 77;6672;Nesselwängle;öffentl.;2;28;16;12
VS;708311;Volksschule;1193176.98,6025760.47;Alte Straße 22;6600;Pflach;öffentl.;4;78;46;32
VS;708321;Volksschule;1188950.68,6030833.42;Unterpinswang 1b;6600;Pinswang;öffentl.;1;19;11;8
VS;708341;Volksschule;1193406.53,6022145.09;Schulstraße 3;6600;Reutte;öffentl.;13;287;155;132
VS;708361;Volksschule;1164769.19,6026908.04;Wies 13;6677;Schattwald;öffentl.;2;27;16;11
VS;708371;Volksschule;1175821.7,6004857.13;Äule 1;6642;Stanzach;öffentl.;1;16;6;10
VS;708381;Volksschule;1146037.13,5981897.8;Nummer 30a;6655;Steeg;öffentl.;2;24;13;11
VS;708401;Volksschule;1170851.58,6024022.59;Kirchacker 12;6675;Tannheim;öffentl.;3;46;23;23
VS;708411;Volksschule;1183855.6,6031774.43;Josef-Ahorn-Weg 18;6682;Vils;öffentl.;4;51;34;17
BMHST;708417;Höhere technische Bundeslehranstalt;1193831.06,6022467.82;Gymnasiumstraße 8;6600;Reutte;öffentl.;5;112;97;15
VS;708421;Volksschule;1173115.41,6002578.06;Vorderhornbach 27;6642;Vorderhornbach;öffentl.;1;11;4;7
BMHSK;708428;Bundeshandelsakademie und Bundeshandelsschule;1193831.06,6022467.82;Gymnasiumstraße 8;6600;Reutte;öffentl.;5;100;42;58
VS;708431;Volksschule;1190003.12,6021685.5;Höfener Straße 3;6610;Wängle;öffentl.;3;46;26;20
BMHSW;708439;Höhere Bundeslehranstalt für wirtschaftliche Berufe (Leitung: 708428);1194125.63,6022630.32;Königsweg 13;6600;Reutte;öffentl.;10;178;10;168
VS;708441;Volksschule;1184449.36,6014486.09;Oberbach 2;6671;Weißenbach am Lech;öffentl.;3;53;30;23
BMHST;708447;Private Fachschule für Kunsthandwerk und Design des Vereins Schnitzschule Elbigenalp;1161166.83,5989409.85;Elbigenalp 57;6652;Elbigenalp;privat;4;77;17;60
VS;708461;Volksschule Archbach-Reutte;1194607.8,6024327.83;Speckbacherstraße 9;6600;Reutte;öffentl.;4;69;30;39
BMHST;708467;Privates Kolleg/Aufbaulehrgang für Maschineningenieurwesen-Ausbildungsmodul/Automatisierungstechn.des Vereins Höhere Technische Ausbildung Außerfern;1193352.05,6022966.77;Bahnhofstraße 15;6600;Reutte;privat;2;19;18;1
GKS;708910;Pflegeschule Reutte;1192383.93,6019798.19;Krankenhausstraße 34;6600;Reutte;öffentl.;0;49;5;44
VS;709011;Volksschule;1303094.68,6028616.17;Achenkirch 377a;6215;Achenkirch;öffentl.;4;67;36;31
NMSH;709012;Mittelschule 1;1319083.56,5998215.23;Lindenweg 28;6263;Fügen;öffentl.;11;216;118;98
SS;709013;Fröhlich Schule. Private Volksschule und Mittelschule des slw Schulvereins;1319075.88,5998494.79;Lindenweg 15;6263;Fügen;privat;4;24;16;8
PS;709014;Polytechnische Schule;1303341.33,5999259.96;Hubert-Danzl-Platz 2;6130;Schwaz;öffentl.;5;109;69;40
AHS;709016;Bischöfliches Gymnasium Paulinum;1302873.4,5996918.02;Paulinumweg 1;6130;Schwaz;privat;25;562;252;310
