type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;lt_type;lt_skz;lt_desc;lt_ipub_desc;lt_street;lt_zip;lt_city;count
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;74;40;34;NMSH;603012;Mittelschule I;Neue Mittelschule an Hauptschulen;Schulgasse 16;8530;Deutschlandsberg;0
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;74;40;34;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;0
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;74;40;34;NMSH;621052;Mittelschule;Neue Mittelschule an Hauptschulen;Schinitzgasse 15;8605;Kapfenberg;0
VS;621201;Dr.-Adolf-Schärf-Volksschule;1701025.86,6015655.84;Redfeld, Pestalozzistraße 6;8605;Kapfenberg;öffentl.;7;124;60;64;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;11
VS;621201;Dr.-Adolf-Schärf-Volksschule;1701025.86,6015655.84;Redfeld, Pestalozzistraße 6;8605;Kapfenberg;öffentl.;7;124;60;64;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;10
VS;621201;Dr.-Adolf-Schärf-Volksschule;1701025.86,6015655.84;Redfeld, Pestalozzistraße 6;8605;Kapfenberg;öffentl.;7;124;60;64;NMSH;621052;Mittelschule;Neue Mittelschule an Hauptschulen;Schinitzgasse 15;8605;Kapfenberg;9
VS;621201;Dr.-Adolf-Schärf-Volksschule;1701025.86,6015655.84;Redfeld, Pestalozzistraße 6;8605;Kapfenberg;öffentl.;7;124;60;64;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;0
VS;621211;Dr.-Theodor-Körner-Volksschule;1706552.25,6017620.86;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;öffentl.;7;110;60;50;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;22
VS;621211;Dr.-Theodor-Körner-Volksschule;1706552.25,6017620.86;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;öffentl.;7;110;60;50;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;11
VS;621211;Dr.-Theodor-Körner-Volksschule;1706552.25,6017620.86;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;öffentl.;7;110;60;50;NMSH;621152;Mittelschule Sankt Barbara;Neue Mittelschule an Hauptschulen;Mitterdorf im Mürztal, Schulstraße 6;8662;Sankt Barbara im Mürztal;0
VS;621221;Volksschule;1702033.86,6014588.36;Wiener Straße 23;8605;Kapfenberg;öffentl.;3;47;28;19;NMSH;621052;Mittelschule;Neue Mittelschule an Hauptschulen;Schinitzgasse 15;8605;Kapfenberg;0
